"Time","Ethnicity","%"
"2004","All","75"
"2004","Asian","76"
"2004","Indian","78"
"2004","Pakistani and Bangladeshi","72"
"2004","Any Other Asian Background","76"
"2004","Black","76"
"2004","Mixed","74"
"2004","White","75"
"2004","White British","75"
"2004","White Other","79"
"2004","Other","76"
"2005","All","75"
"2005","Asian","76"
"2005","Indian","79"
"2005","Pakistani and Bangladeshi","71"
"2005","Any Other Asian Background","76"
"2005","Black","76"
"2005","Mixed","74"
"2005","White","75"
"2005","White British","75"
"2005","White Other","80"
"2005","Other","77"
"2006","All","76"
"2006","Asian","77"
"2006","Indian","80"
"2006","Pakistani and Bangladeshi","72"
"2006","Any Other Asian Background","76"
"2006","Black","76"
"2006","Mixed","73"
"2006","White","76"
"2006","White British","75"
"2006","White Other","81"
"2006","Other","76"
"2007","All","76"
"2007","Asian","76"
"2007","Indian","80"
"2007","Pakistani and Bangladeshi","73"
"2007","Any Other Asian Background","73"
"2007","Black","75"
"2007","Mixed","72"
"2007","White","75"
"2007","White British","75"
"2007","White Other","81"
"2007","Other","77"
"2008","All","75"
"2008","Asian","76"
"2008","Indian","80"
"2008","Pakistani and Bangladeshi","70"
"2008","Any Other Asian Background","74"
"2008","Black","76"
"2008","Mixed","75"
"2008","White","75"
"2008","White British","75"
"2008","White Other","82"
"2008","Other","78"
"2009","All","75"
"2009","Asian","73"
"2009","Indian","79"
"2009","Pakistani and Bangladeshi","66"
"2009","Any Other Asian Background","71"
"2009","Black","75"
"2009","Mixed","74"
"2009","White","75"
"2009","White British","74"
"2009","White Other","79"
"2009","Other","75"
"2010","All","74"
"2010","Asian","72"
"2010","Indian","79"
"2010","Pakistani and Bangladeshi","63"
"2010","Any Other Asian Background","71"
"2010","Black","72"
"2010","Mixed","73"
"2010","White","74"
"2010","White British","74"
"2010","White Other","79"
"2010","Other","71"
"2011","All","74"
"2011","Asian","-"
"2011","Indian","-"
"2011","Pakistani and Bangladeshi","-"
"2011","Any Other Asian Background","-"
"2011","Black","-"
"2011","Mixed","-"
"2011","White","-"
"2011","White British","-"
"2011","White Other","-"
"2011","Other","-"
"2012","All","74"
"2012","Asian","72"
"2012","Indian","77"
"2012","Pakistani and Bangladeshi","66"
"2012","Any Other Asian Background","71"
"2012","Black","72"
"2012","Mixed","71"
"2012","White","74"
"2012","White British","74"
"2012","White Other","80"
"2012","Other","72"
"2013","All","74"
"2013","Asian","74"
"2013","Indian","78"
"2013","Pakistani and Bangladeshi","67"
"2013","Any Other Asian Background","74"
"2013","Black","71"
"2013","Mixed","69"
"2013","White","74"
"2013","White British","74"
"2013","White Other","79"
"2013","Other","73"
"2014","All","74"
"2014","Asian","73"
"2014","Indian","79"
"2014","Pakistani and Bangladeshi","68"
"2014","Any Other Asian Background","70"
"2014","Black","69"
"2014","Mixed","71"
"2014","White","75"
"2014","White British","74"
"2014","White Other","80"
"2014","Other","72"
"2015","All","74"
"2015","Asian","74"
"2015","Indian","80"
"2015","Pakistani and Bangladeshi","67"
"2015","Any Other Asian Background","72"
"2015","Black","70"
"2015","Mixed","67"
"2015","White","75"
"2015","White British","74"
"2015","White Other","80"
"2015","Other","69"
"2016","All","75"
"2016","Asian","75"
"2016","Indian","81"
"2016","Pakistani and Bangladeshi","71"
"2016","Any Other Asian Background","72"
"2016","Black","70"
"2016","Mixed","69"
"2016","White","75"
"2016","White British","74"
"2016","White Other","81"
"2016","Other","71"
"2017","All","75"
"2017","Asian","74"
"2017","Indian","79"
"2017","Pakistani and Bangladeshi","68"
"2017","Any Other Asian Background","74"
"2017","Black","71"
"2017","Mixed","69"
"2017","White","75"
"2017","White British","74"
"2017","White Other","80"
"2017","Other","75"
"2018","All","75"
"2018","Asian","75"
"2018","Indian","82"
"2018","Pakistani and Bangladeshi","69"
"2018","Any Other Asian Background","73"
"2018","Black","72"
"2018","Mixed","73"
"2018","White","75"
"2018","White British","75"
"2018","White Other","82"
"2018","Other","72"
"2019","All","75"
"2019","Asian","75"
"2019","Indian","81"
"2019","Pakistani and Bangladeshi","69"
"2019","Any Other Asian Background","73"
"2019","Black","72"
"2019","Mixed","74"
"2019","White","75"
"2019","White British","75"
"2019","White Other","82"
"2019","Other","73"
"2020","All","76"
"2020","Asian","76"
"2020","Indian","81"
"2020","Pakistani and Bangladeshi","69"
"2020","Any Other Asian Background","76"
"2020","Black","73"
"2020","Mixed","71"
"2020","White","76"
"2020","White British","76"
"2020","White Other","82"
"2020","Other","76"
"2021","All","77"
"2021","Asian","78"
"2021","Indian","82"
"2021","Pakistani and Bangladeshi","69"
"2021","Any Other Asian Background","80"
"2021","Black","75"
"2021","Mixed","77"
"2021","White","77"
"2021","White British","76"
"2021","White Other","82"
"2021","Other","76"
