"Time","Ethnicity","%"
"2004","All","25"
"2004","Asian","24"
"2004","Indian","21"
"2004","Pakistani and Bangladeshi","27"
"2004","Any Other Asian Background","24"
"2004","Black","23"
"2004","Mixed","26"
"2004","White","25"
"2004","White British","25"
"2004","White Other","21"
"2004","Other","24"
"2005","All","25"
"2005","Asian","24"
"2005","Indian","21"
"2005","Pakistani and Bangladeshi","29"
"2005","Any Other Asian Background","24"
"2005","Black","24"
"2005","Mixed","26"
"2005","White","25"
"2005","White British","25"
"2005","White Other","20"
"2005","Other","23"
"2006","All","24"
"2006","Asian","23"
"2006","Indian","20"
"2006","Pakistani and Bangladeshi","28"
"2006","Any Other Asian Background","24"
"2006","Black","24"
"2006","Mixed","27"
"2006","White","24"
"2006","White British","25"
"2006","White Other","19"
"2006","Other","23"
"2007","All","24"
"2007","Asian","24"
"2007","Indian","20"
"2007","Pakistani and Bangladeshi","27"
"2007","Any Other Asian Background","26"
"2007","Black","24"
"2007","Mixed","28"
"2007","White","24"
"2007","White British","25"
"2007","White Other","18"
"2007","Other","22"
"2008","All","24"
"2008","Asian","24"
"2008","Indian","20"
"2008","Pakistani and Bangladeshi","29"
"2008","Any Other Asian Background","26"
"2008","Black","24"
"2008","Mixed","25"
"2008","White","24"
"2008","White British","25"
"2008","White Other","18"
"2008","Other","22"
"2009","All","25"
"2009","Asian","27"
"2009","Indian","21"
"2009","Pakistani and Bangladeshi","33"
"2009","Any Other Asian Background","29"
"2009","Black","25"
"2009","Mixed","26"
"2009","White","25"
"2009","White British","26"
"2009","White Other","21"
"2009","Other","25"
"2010","All","26"
"2010","Asian","27"
"2010","Indian","21"
"2010","Pakistani and Bangladeshi","37"
"2010","Any Other Asian Background","29"
"2010","Black","27"
"2010","Mixed","26"
"2010","White","26"
"2010","White British","26"
"2010","White Other","20"
"2010","Other","28"
"2011","All","26"
"2011","Asian","-"
"2011","Indian","-"
"2011","Pakistani and Bangladeshi","-"
"2011","Any Other Asian Background","-"
"2011","Black","-"
"2011","Mixed","-"
"2011","White","-"
"2011","White British","-"
"2011","White Other","-"
"2011","Other","-"
"2012","All","26"
"2012","Asian","28"
"2012","Indian","23"
"2012","Pakistani and Bangladeshi","33"
"2012","Any Other Asian Background","29"
"2012","Black","28"
"2012","Mixed","28"
"2012","White","26"
"2012","White British","26"
"2012","White Other","19"
"2012","Other","28"
"2013","All","26"
"2013","Asian","26"
"2013","Indian","22"
"2013","Pakistani and Bangladeshi","33"
"2013","Any Other Asian Background","26"
"2013","Black","29"
"2013","Mixed","31"
"2013","White","26"
"2013","White British","26"
"2013","White Other","20"
"2013","Other","27"
"2014","All","26"
"2014","Asian","27"
"2014","Indian","21"
"2014","Pakistani and Bangladeshi","32"
"2014","Any Other Asian Background","29"
"2014","Black","30"
"2014","Mixed","28"
"2014","White","25"
"2014","White British","26"
"2014","White Other","19"
"2014","Other","28"
"2015","All","26"
"2015","Asian","26"
"2015","Indian","20"
"2015","Pakistani and Bangladeshi","32"
"2015","Any Other Asian Background","28"
"2015","Black","29"
"2015","Mixed","32"
"2015","White","25"
"2015","White British","26"
"2015","White Other","20"
"2015","Other","31"
"2016","All","25"
"2016","Asian","25"
"2016","Indian","19"
"2016","Pakistani and Bangladeshi","29"
"2016","Any Other Asian Background","28"
"2016","Black","29"
"2016","Mixed","31"
"2016","White","25"
"2016","White British","26"
"2016","White Other","19"
"2016","Other","29"
"2017","All","25"
"2017","Asian","26"
"2017","Indian","21"
"2017","Pakistani and Bangladeshi","32"
"2017","Any Other Asian Background","26"
"2017","Black","29"
"2017","Mixed","31"
"2017","White","25"
"2017","White British","25"
"2017","White Other","20"
"2017","Other","25"
"2018","All","25"
"2018","Asian","25"
"2018","Indian","18"
"2018","Pakistani and Bangladeshi","31"
"2018","Any Other Asian Background","27"
"2018","Black","28"
"2018","Mixed","27"
"2018","White","25"
"2018","White British","25"
"2018","White Other","18"
"2018","Other","28"
"2019","All","25"
"2019","Asian","25"
"2019","Indian","19"
"2019","Pakistani and Bangladeshi","31"
"2019","Any Other Asian Background","27"
"2019","Black","27"
"2019","Mixed","26"
"2019","White","25"
"2019","White British","25"
"2019","White Other","18"
"2019","Other","26"
"2020","All","24"
"2020","Asian","24"
"2020","Indian","19"
"2020","Pakistani and Bangladeshi","31"
"2020","Any Other Asian Background","24"
"2020","Black","27"
"2020","Mixed","29"
"2020","White","24"
"2020","White British","24"
"2020","White Other","18"
"2020","Other","24"
"2021","All","23"
"2021","Asian","22"
"2021","Indian","18"
"2021","Pakistani and Bangladeshi","31"
"2021","Any Other Asian Background","20"
"2021","Black","24"
"2021","Mixed","23"
"2021","White","23"
"2021","White British","24"
"2021","White Other","18"
"2021","Other","24"
